X,Y,OBJECTID,CRIMEID,CCN,REPORTDATE,ROUTEID,MEASURE,OFFSET,STREETSEGID,ROADWAYSEGID,FROMDATE,TODATE,MAR_ID,ADDRESS,LATITUDE,LONGITUDE,XCOORD,YCOORD,WARD,EVENTID,MAR_ADDRESS,MAR_SCORE,MAJORINJURIES_BICYCLIST,MINORINJURIES_BICYCLIST,UNKNOWNINJURIES_BICYCLIST,FATAL_BICYCLIST,MAJORINJURIES_DRIVER,MINORINJURIES_DRIVER,UNKNOWNINJURIES_DRIVER,FATAL_DRIVER,MAJORINJURIES_PEDESTRIAN,MINORINJURIES_PEDESTRIAN,UNKNOWNINJURIES_PEDESTRIAN,FATAL_PEDESTRIAN,TOTAL_VEHICLES,TOTAL_BICYCLES,TOTAL_PEDESTRIANS,PEDESTRIANSIMPAIRED,BICYCLISTSIMPAIRED,DRIVERSIMPAIRED,TOTAL_TAXIS,TOTAL_GOVERNMENT,SPEEDING_INVOLVED,NEARESTINTROUTEID,NEARESTINTSTREETNAME,OFFINTERSECTION,INTAPPROACHDIRECTION,LOCATIONERROR,LASTUPDATEDATE,MPDLATITUDE,MPDLONGITUDE,MPDGEOX,MPDGEOY,FATALPASSENGER,MAJORINJURIESPASSENGER,MINORINJURIESPASSENGER,UNKNOWNINJURIESPASSENGER
-76.9670559304847,38.8773665154748,110167503,32867687112,22053048,2022/04/17 11:11:00+00,13057852,3100.02,17.76,,,2022/04/17 07:29:00+00,,43675,2901 M STREET SE,38.877238,-76.967188,402847.189,134378.963,Ward 7,,2901 M STREET SE,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,13034512,FAIRLAWN AVE SE,0,East,,,0,1,38.877,-76.967,0,0,0,0
-77.0345731779937,38.9052162988536,110167566,33550097356,22063098,2022/05/06 05:03:00+00,11001502,1890.89,19.35,,,2022/05/06 02:30:00+00,,302173,1154 15TH STREET NW,38.905209,-77.034794,396982.075,137484.106,Ward 2,,1154 15TH STREET NW,100,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,11057852,M ST NW,48.6,South,,,0,0,38.905,-77.035,0,0,0,0
-77.0199613600044,38.9154501519323,110167660,33415876137,22060403,2022/05/01 10:39:00+00,11036722,1077.63,29.6,,,2022/05/01 08:58:00+00,,229888,545 FLORIDA AVENUE NW,38.915674,-77.01979,398283.724,138645.354,Ward 1,,545 FLORIDA AVENUE NW,100,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,11000602,6TH ST NW,1.68,Southeast,,,0,0,38.916,-77.02,0,0,0,0
-76.9352676003064,38.8888709169364,110167680,33435922169,22060523,2022/05/01 22:55:00+00,13008582,2275.25,47.78,,,2022/05/01 17:00:00+00,,18865,4627 EAST CAPITOL STREET SE,38.889283,-76.935144,405626.674,135717.584,Ward 7,,4627 EAST CAPITOL STREET SE,100,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,13004602,46TH ST SE,69.85,East,,,0,2,38.89,-76.935,0,0,0,0
-76.9831125928675,38.896675460033,110167741,33491384327,22061931,2022/05/04 05:02:00+00,12034382,1879.16,35.34,,,2022/05/04 03:15:00+00,,61982,1512 F STREET NE,38.896986,-76.983108,401465.374,136570.862,Ward 6,,1512 F STREET NE,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,12001502,15TH ST NE,46.28,East,,,0,0,38.897,-76.983,0,0,0,0
-77.0434602065736,38.9032032156232,110167747,33069011366,22057977,2022/04/27 02:27:00+00,11001902,1231.75,31.22,,,2022/04/27 01:00:00+00,,278807,1075 19TH STREET NW,38.903195,-77.043098,396261.721,137260.782,Ward 2,,1075 19TH STREET NW,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,11053492,L ST NW,60.93,South,,,0,0,38.903,-77.043,0,0,0,0
-77.0312252977331,38.908303790578,110167924,32973927307,22055791,2022/04/24 21:17:00+00,Route not found,0,0,,,2022/04/22 22:37:00+00,,225399,1333 14TH STREET NW,38.908296,-77.031223,397291.909,137826.647,Ward 2,,1333 14TH STREET NW,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,Route not found,Route not found,0,Route not found,Crash point too far from centerline (>50m),,0,0,38.908,-77.031,0,0,0,0
-77.0325493425573,38.9277657847892,110167931,32974359871,22056837,2022/04/24 23:28:00+00,11001402,4169.98,0,,,2022/04/24 22:15:00+00,,302258,3014 14TH STREET NW,38.927758,-77.032547,397177.846,139987.132,Ward 1,,3014 14TH STREET NW,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,11024632,COLUMBIA RD NW,24.53,North,,,0,0,38.928,-77.033,0,0,0,0
-77.0239813502645,38.9072512191188,110168797,24004749,12014404,2012/01/30 00:00:00+00,11063182,1250.67,0.16,7719,3716,2012/01/29 05:00:00+00,,239742,9TH ST NW / N ST NW,38.907244,-77.023979,397920.173,137709.653,Ward 2,{02603D82-851E-4246-A482-EF61B3E6A274},1300 9TH STREET NW,200,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,11000902,9TH ST NW,1.42,West,,,38.907242,-77.023979,,,0,0,0,0
-77.0297274450451,38.9362866931912,110169067,23950462,12046793,2012/04/06 13:59:00+00,11001302,4411.76,0.59,1562,36773,2012/04/06 04:00:00+00,,230353,13TH ST NW / SPRING RD NW,38.936279,-77.029725,397422.836,140932.946,Ward 1,{08217663-245C-452C-B631-E927B4EAB71A},3665 13TH STREET NW,200,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,11081832,SPRING RD NW,0.66,South,,,38.936279,-77.029732,,,0,0,0,0
