"X","Y","OBJECTID","GLOBALID","REQUESTID","REQUESTTYPE","REQUESTDATE","STATUS","STREETSEGID","COMMENTS","USERTYPE"
-77.0175615038001,38.8832662790314,5,"{0AED48A8-A4DD-44E9-8C4A-D45E14E7462D}","5","Cyclist behavior","2015/06/29 20:15:05+00","Unassigned",5344,"Some cyclists often run this red light","Biker"
-77.0326674265696,38.9290337954411,7,"{446A2BF2-B7D4-4EC1-9398-8A6578E5CDC2}","7","Double parking","2015/06/29 20:16:05+00","Unassigned",763,"As a cyclist who lives in this area, the block between Irving and Park on 14th St NW is particularly terrible when it comes to double parking and parking in the bike lanes.","Biker"
-77.0096685795909,38.8793025491395,8,"{E87DC54D-4D5D-46D0-BB9F-3244D55712AB}","8","Other Driving Issue","2015/06/29 20:16:42+00","Unassigned",8491,"Cars park in the bike lanes here","Biker"
-77.0058900205271,38.9037484771994,10,"{54E6610D-A5C5-49AA-9312-E80C88A5010B}","10","Red light running","2015/06/29 20:18:49+00","Unassigned",7950,"On 1st St the 2-way protected bike lane runs along the east side of the street. At L, westbound drivers turn right on red (if they stop at all) despite oncoming 2-way bicycle traffic. I have come within 2 feet of a T-boning driver twice","Biker"
-77.0058917656546,38.902530547484,14,"{144BED48-BC50-41BB-8C45-2A48157FA3DA}","14","Red light running","2015/06/29 20:22:55+00","Unassigned",1292,"Northbound drivers turning right onto K NE frequently turn without yielding to 2-way bicycle traffic on the 1st St. protected bike lane. Signs suggest yielding to bicycles, but signal separation is needed.","Biker"
-77.0328516884114,38.8991012596199,15,"{C3954859-1E5E-45D5-996C-4C5252514932}","15","Double parking","2015/06/29 20:22:59+00","Unassigned",732,"Tour busses consistently block eastbound bike lane.","Biker"
-77.0199052910006,38.8980222778687,17,"{7526ADD2-06EA-4687-87D9-D033BDE9CB33}","17","Double parking","2015/06/29 20:23:54+00","Unassigned",6031,"When events occur at the Verizon Center, load-ins are scheduled during rush hour. Multiple vehicles park in the rush hour zone on the east side of the street. On the morning of 6/29/15, they were parked in 2 of the 3 lanes.","Biker"
-77.0327035976991,38.895520233682,19,"{D6ECB052-6812-4909-8B14-44455FB16E38}","19","Other Driving Issue","2015/06/29 20:24:17+00","Unassigned",1067,"Illegal U-turns","Biker"
-77.0199071617126,38.8956504037151,21,"{5CDE043D-3549-46B9-8922-CEC4A196927B}","21","Double parking","2015/06/29 20:25:41+00","Unassigned",13243,"Government shuttle busses stop/ park in this block during rush hour/ no parking hours in the AM. The other 3 streets do not have this restriction. Please get this illegal shuttle bus stop shut down!","Biker"
-77.0220866629467,38.9209757624228,22,"{268BD057-D291-4122-86F5-AD746DDFCA4B}","22","Speeding","2015/06/29 20:26:18+00","Unassigned",13081,"all day, every day","Biker"
-77.0432765469574,38.9056710467436,23,"{76F3FBDA-38C3-468A-8A31-9B6AACCFA552}","23","Blocking the bikebox","2015/06/29 20:26:20+00","Unassigned",7809,"At every light cycle, between 1-4 lanes of car traffic block this box. Furthermore, drivers make left turn on red against the light and without stopping, even bullying pedestrians out of the way","Biker"
-76.9816172041821,38.9264595130044,24,"{BA86A977-FA7E-4DD3-8784-4A9D36F68079}","24","Speeding","2015/06/29 20:26:36+00","Unassigned",348,"","Biker"
-76.9771113577497,38.9100949885511,27,"{A2E54B4C-5E77-4FDD-B85F-4EA0C84C8AB8}","27","Speeding","2015/06/29 20:27:28+00","Unassigned",791,"Car often treat this as a limited access highway.","Biker"
-77.0175604433772,38.8857383160981,28,"{27774BA3-F2DA-431A-B7B1-13E550800D26}","28","Double parking","2015/06/29 20:27:47+00","Unassigned",1143,"I have encountered a Government shuttle bus double parking in the bike lane to discharge passengers on multiple occasions at this location.","Biker"
-77.0327389753414,38.9295860984741,31,"{5EC428D6-DBE4-4440-8618-1D1B0BADD4C5}","31","Double parking","2015/06/29 20:28:28+00","Unassigned",763,"On 14th between Irving & Park, bike lanes are constantly blocked by double parked vehicles adding more chaos to an already complex road environemnt","Biker"
-77.0175621591667,38.8830491425684,34,"{FB9AAAF9-0B42-4DFB-BEB6-31DEDCA6B4D2}","34","Accessibility Issue","2015/06/29 20:29:08+00","Unassigned",6650,"Construction site has closed the sidewalk without proper signage/ rerouting. They often impinge on the bike lane as well and park construction vehicles in the south bound lane without traffic rerouting or traffic direction.","Biker"
-77.023993184885,38.9058692502256,35,"{53A04E1F-8DBD-4853-87BD-FDDE6149572A}","35","Other Driving Issue","2015/06/29 20:30:00+00","Unassigned",1383,"cars will pass bikers in an extremely dangerous fashion","Biker"
-77.0090628643447,38.8793011599849,36,"{D52CEB46-338B-4DAB-A86D-EEF807DD62AA}","36","Other Driving Issue","2015/06/29 20:30:20+00","Unassigned",8285,"Drivers frequently use the right turn only lane to proceed straight on eastbound I St and drive through the bike lane.","Biker"
-76.9937618152846,38.9037350999534,37,"{85E0819E-EDB5-4E9D-A8A7-703187E8A638}","37","Poor visibility","2015/06/29 20:30:15+00","Unassigned",10647,"When making a right from West Virginia onto L St, it's difficult to see if any cars are coming up or down 9th St (and folks often speed). It's also difficult for cars to negotiate right of way here because West Virginia traffic doesn't stop.","Biker"
-77.0183330899213,38.9229306036682,38,"{4367A4E8-E5A4-4C17-B1B7-78FEC0DDE303}","38","Double parking","2015/06/29 20:30:27+00","Unassigned",2089,"Drivers double park in the southbound bike lane waiting to pick up students from Howard every day from roughly 3-4pm forcing bicyclists to quickly merge into very fast downhill traffic.","Biker"
-77.0327519980498,38.9299117669115,39,"{242581FB-0C57-480B-836E-7A9B96C6834C}","39","Double parking","2015/06/29 20:30:28+00","Unassigned",763,"cars, delivery trucks, metro shuttles, taxis park in this bike lane all day every day","Biker"
-77.0270559651082,38.8949908800716,41,"{1740F180-1968-4AEA-9D2F-2B9733495B2C}","41","Other Driving Issue","2015/06/29 20:31:34+00","Unassigned",12987,"Drivers frequently make left turns onto Penn from the right lane, proceeding across marked bike lanes to proceed west on Penn and interfering with drivers making the left from the left lane.","Biker"
-77.0270529065524,38.8953334564209,42,"{48E955DA-4D6A-44DD-8838-DF6BD6623568}","42","Other Driving Issue","2015/06/29 20:32:17+00","Unassigned",12987,"Frequent u-turns across the bike lane in the middle of 11th made by valets from the two restaurants on the corners of 11th & Penn.","Biker"
-77.0327325130782,38.9295175398233,44,"{A26FEA7F-6C2A-4C33-805F-F1373167CE71}","44","Double parking","2015/06/29 20:32:54+00","Unassigned",763,"drivers in bike lanes all the time, never enforced","Biker"
-77.0550005847006,38.8998122506413,45,"{82F7458E-2058-4AF9-9A63-1A903A157A78}","45","Speeding","2015/06/29 20:33:25+00","Unassigned",937,"","Biker"
-77.0225461944049,38.9243385357983,47,"{D11859ED-DEF6-4F9E-90E8-40134EA48E8F}","47","Other Driving Issue","2015/06/29 20:33:45+00","Unassigned",7530,"constant speeding, close passing","Biker"
-77.0857288921317,38.9086929702761,51,"{E2AA1B8E-7748-4530-9D71-B880F5EBE398}","51","Speeding","2015/06/29 20:34:33+00","Unassigned",9827,"Vehicles - including WMATA buses - regularly go 35-40 down this residential street.","Biker"
-77.004122037188,38.9056592507147,53,"{B86EEB4A-CA51-4296-99F0-532BB5D87547}","53","Double parking","2015/06/29 20:35:04+00","Unassigned",2016,"People regularly stand/park in the bike lanes.","Biker"
-77.0239707669376,38.9070747216101,55,"{4D5FE07F-66B1-4849-A4E6-47476AAB9990}","55","Speeding","2015/06/29 20:35:14+00","Unassigned",1383,"","Biker"
-77.0280862485064,38.9043192417886,57,"{CB0D6647-3247-4D34-AE18-1CF000CABAA4}","57","Other Driving Issue","2015/06/29 20:35:38+00","Unassigned",1586,"The only time I don't see drivers blocking the box here during PM Rush is when DDOT officers are present. This intersection needs a serious redesign.","Biker"
-77.0954306146228,38.9163214254068,59,"{27CBD28A-B59C-4A46-A2AD-C6C5DA197104}","59","Speeding","2015/06/29 20:36:02+00","Unassigned",6071,"Literally no one obeys the school zone limit here. There are two schools here.","Biker"
-77.0270407652968,38.9207786502537,60,"{C76224DC-BA6D-41A0-B037-3AB232B7C42F}","60","Other Biking Issue","2015/06/29 20:39:18+00","Unassigned",7206,"This area could use a continuation of the 11th Street bike lane, as it gets very congested until the bike lane returns further down the road.","Biker"
-77.0176846888541,38.8775124926454,62,"{0661CBD1-40D7-4532-9A84-8EF405DB435D}","62","Double parking","2015/06/29 20:40:04+00","Unassigned",14208,"Cars double park for safeway and DC government offices in the bikelane... all the time.","Biker"
-77.0385134173258,38.9037579515977,66,"{4B2660CD-3FAB-4097-B70B-369F2934B3BD}","66","Other Driving Issue","2015/06/29 20:36:14+00","Unassigned",11313,"Cars constantly take lefts over the L St. cycletrack here and in many other places along the cycletrack, holding up traffic and potentially killing cyclists.","Biker"
-77.0985296953434,38.9209612383562,69,"{93776AF7-D43B-49F8-AB8E-9532F3096C5E}","69","Speeding","2015/06/29 20:36:48+00","Unassigned",10049,"90% of vehicles break the speed limit here to a dangerous degree.","Biker"
-77.0434258723601,38.9155808804934,77,"{6A15B134-30EE-4D21-9613-AE9A4F98567D}","77","Stop sign running","2015/06/29 20:57:03+00","Unassigned",10008,"Cars don't seem to realize this is a 2 way stop and cross traffic doesn't stop.","Biker"
-77.0338985894417,38.9306743510898,80,"{140CF5E6-9EA2-4B24-A4D3-D5BBE708CDEA}","80","Other Driving Issue","2015/06/29 20:58:03+00","Unassigned",8555,"this road need a bike lane, if you are on a bike cars will pass within inches of you","Biker"
