X,Y,OBJECTID,GLOBALID,REQUESTID,REQUESTTYPE,REQUESTDATE,STATUS,STREETSEGID,COMMENTS,USERTYPE
-77.0350667031179,38.9401268511338,113,{C46CDE04-64F9-4132-9A2E-44E9B17CADE8},113,Other Biking Issue,2015/06/29 20:50:31+00,Unassigned,9688,I've seen many drivers honk and be aggresive towards cyclists on this part of  Piney Branch while  I've been running.,Pedestrian
-77.1004906408173,38.9189029102057,382,{C9A1F633-7C4F-4453-BF9A-2C9DD639FD76},382,Other Biking Issue,2015/06/30 17:29:53+00,Unassigned,13130,Pedestrians and cyclists need to cross Canal Road here to access the C&O path and CCT. No xwalk/signal to help crossing.,Pedestrian
-77.0278285229239,38.9673506625564,436,{5E4DA191-7B72-42DA-8E2D-50554090624F},436,Other Biking Issue,2015/06/30 20:34:08+00,Unassigned,4574,"Bike lane is too narrow - narrower than allowed under federal guidelines.  This makes it very difficult for cyclists to stay in the bike lane, thus they often drift into the regular lane. Cars don't expect this, since they a bike lane is there.",Car Driver
-77.0339308400237,38.9274423185198,717,{A0A2C601-EDA5-4FD2-AF47-77F65A7DB416},717,Other Biking Issue,2015/07/01 18:23:16+00,Unassigned,11450,Adding a bike lane to Columbia Road would help to cut down on the wrong-way riding that necessarily occurs on the sidewalk now.,Pedestrian
-77.0319550988,38.9062548973923,783,{29713ACF-EB1C-456C-A6BB-E0D85CE8F8E0},783,Other Biking Issue,2015/07/01 20:17:59+00,Unassigned,11399,"Cars do not respect the bike lane space heading into Thomas Circle. They regularly veer into the bike lane, even when bikes are present.",Pedestrian
-77.0176961859701,38.877392538704,895,{6DE6AB17-880E-4E95-A2DA-1074C3575409},895,Other Biking Issue,2015/07/01 21:47:56+00,Unassigned,14208,People double park and block the bike lanes,Pedestrian
-77.0336491244911,38.8938016916214,1690,{E9D90E57-C104-4087-BB39-3899078C23A8},1690,Other Biking Issue,2015/07/07 17:39:06+00,Unassigned,759,The rightmost southbound lane here is blocked for the sake of parking for only a handful of T-shirt and hot dog trucks. Cyclists going from the cycletrack to the Mall are forced to split through gridlock traffic or ride on crowded sidewalks.,Car Driver
-77.012204893175,38.9510851376694,1706,{6E95F767-F943-448C-9A0F-E4CB143AAB1F},1706,Other Biking Issue,2015/07/07 19:56:26+00,Unassigned,876,Street paving is in complete disrepair! NEeds to be repaved!,Pedestrian
-77.0152337513571,38.8920931734247,2370,{482B1C06-123C-40CC-BC46-E251FD8BEB0A},2370,Other Biking Issue,2015/07/14 17:02:25+00,Unassigned,5399,"East bound traffic undergoes a lane shift to the left as they cross the intersection but because of no directional lines in the intersection and a very wide right lane, middle lane traffic veers into the right lane.",Car Driver
-76.9937536739512,38.8958823872546,2636,{9AE30AEF-D5CE-4B7B-8212-961235687F95},2636,Other Biking Issue,2015/07/15 13:49:54+00,Unassigned,573,Bikers need lanes all up and down MD Avenue.  It is super dangerous.  Aggressive drivers honk at them and try and run them off the road.,Pedestrian
-77.0416934851897,38.9028913677399,3258,{0984887A-AA64-4E3E-97A8-0174DD886CD4},3258,Other Biking Issue,2015/07/17 16:57:17+00,Unassigned,56,"The road surface here is an embarrassment.  And also unsafe for cyclists, who have to dodge potholes while car drivers are aggressively passing them.  And why are there no bike facilities on a 4 lane road?",Car Driver
-77.0416855341724,38.9060797207182,3691,{873DC2A3-B8BA-4AE2-90AE-23092FD989B7},3691,Other Biking Issue,2015/07/24 13:26:28+00,Unassigned,9279,"Take a look at this.  18th St. and Ct side by side, with no bike facilities on either.  It's like DDOT telling bikes, ""go die.""",Car Driver
-77.0466585009568,38.8990098238431,3902,{3098167F-5D50-40AC-9BBA-C6D488BD37B4},3902,Other Biking Issue,2015/07/27 20:47:16+00,Unassigned,2340,"This is a college campus. Yet there are NO BIKE FACILITIES?!  21st has two lanes that regularly carry cars at 35mph. Redesigning one lane for a separated bicycle facility would make a safe space for cars (at 25mph), pedestrians and bikes.",Pedestrian
-77.0426792564337,38.8983291294685,3903,{15647B00-10FE-4F78-8BFF-72455B3D63F0},3903,Other Biking Issue,2015/07/27 20:48:51+00,Unassigned,10794,Both F and G streets have ample space for separated bicycle facilities. There is otherwise no way to travel other than by car.,Pedestrian
-77.0735299664376,38.936813239488,3923,{2A691A4B-04F6-437C-AC0A-BEE8CB909D86},3923,Other Biking Issue,2015/07/27 23:39:14+00,Unassigned,12933,Give bikers a protected bike lane so they have safe commuting space,Car Driver
-77.0129120469081,38.9126108238556,4967,{56A5DCE4-3B13-4926-A241-BAC7F9D45D06},4967,Other Biking Issue,2015/08/04 14:21:31+00,Unassigned,3484,"Please place a diverter here to limit traffic entering from Florida Ave. If this block of R were a one way, the cafe, park and farmers market would have permanent room to expand. R street could then have a dedicated bike lane.",Pedestrian
