"lat","lon","ward","fatal","total_b","total_v","imp_b","imp_d","speeding","year","month","inj"
38.936279,-77.029725,"Ward 1",0,1,2,0,0,0,2012,4,"Major Injury"
38.905659,-77.029621,"Ward 2",0,1,2,0,0,0,2012,5,"Major Injury"
38.907244,-77.023979,"Ward 2",0,1,2,0,0,0,2012,1,"Minor Injury"
38.924752,-77.06788,"Ward 3",0,1,2,0,0,0,2012,6,"Major Injury"
38.89613,-77.028081,"Ward 2",0,1,2,0,0,0,2012,7,"Major Injury"
38.912178,-76.992202,"Ward 5",0,1,2,0,0,0,2012,7,"Minor Injury"
38.924496,-76.978998,"Ward 5",0,1,2,0,0,0,2012,7,"Major Injury"
38.902515,-77.005867,"Ward 6",0,1,2,0,0,0,2012,7,"Minor Injury"
38.952066,-77.020325,"Ward 4",0,1,2,0,0,1,2012,8,"Minor Injury"
38.838799,-76.993562,"Ward 8",0,1,2,0,0,0,2012,8,"Major Injury"
38.9562,-77.028027,"Ward 4",0,1,2,0,0,0,2012,8,"Minor Injury"
38.93136,-76.971406,"Ward 5",0,1,2,0,0,0,2012,8,"Minor Injury"
38.918268,-77.000852,"Ward 5",0,1,2,0,0,0,2012,8,"Minor Injury"
38.906269,-77.01216,"Ward 6",0,1,2,0,0,0,2012,9,"Minor Injury"
38.905677,-76.980799,"Ward 5",0,1,2,0,0,0,2012,9,"Major Injury"
38.892024,-77.008173,"Ward 6",0,1,2,0,0,0,2012,8,"Minor Injury"
38.916988,-77.023956,"Ward 1",0,1,2,0,0,0,2012,8,"Minor Injury"
38.924759,-77.027039,"Ward 1",0,1,2,0,0,0,2012,9,"Minor Injury"
38.906841,-77.059185,"Ward 2",0,1,2,0,0,0,2012,8,"Minor Injury"
38.902531,-77.027039,"Ward 2",0,1,2,0,0,0,2012,9,"Minor Injury"
38.920963,-77.022057,"Ward 1",0,1,2,0,0,0,2012,9,"Minor Injury"
38.902519,-76.994959,"Ward 6",0,1,2,0,0,0,2012,9,"Minor Injury"
38.935107,-77.025296,"Ward 4",0,1,2,0,0,0,2012,9,"Minor Injury"
38.876028,-76.931,"Ward 7",0,1,2,0,0,0,2012,10,"Major Injury"
38.907242,-77.021919,"Ward 2",0,1,2,0,0,0,2012,10,"Minor Injury"
38.910806,-77.065139,"Ward 2",0,1,2,0,0,0,2012,9,"Minor Injury"
38.905899,-77.0316,"Ward 2",0,1,2,0,0,0,2012,9,"Minor Injury"
38.936279,-77.029725,"Ward 1",0,1,2,0,0,0,2012,10,"Minor Injury"
38.933613,-77.024176,"Ward 1",0,1,1,0,0,0,2012,10,"Major Injury"
38.904959,-77.03879,"Ward 2",0,1,2,0,0,0,2012,10,"Minor Injury"
38.968535,-77.006089,"Ward 4",0,1,2,0,0,0,2012,10,"Major Injury"
38.902599,-77.059107,"Ward 2",0,1,2,0,0,0,2012,10,"Major Injury"
38.90903,-77.041676,"Ward 2",0,1,2,0,0,0,2012,10,"Minor Injury"
38.907237,-77.011177,"Ward 5",0,1,2,0,0,0,2012,10,"Major Injury"
38.915848,-77.015947,"Ward 1",0,1,2,0,0,0,2012,10,"Minor Injury"
38.922374,-77.009087,"Ward 5",0,1,2,0,0,0,2012,11,"Minor Injury"
38.892146,-77.017695,"Ward 6",0,1,2,0,0,0,2012,11,"Major Injury"
38.88792,-76.994961,"Ward 6",0,1,2,0,0,0,2012,11,"Minor Injury"
38.932533,-76.997719,"Ward 5",0,1,2,0,0,0,2012,11,"Major Injury"
38.898814,-77.03946,"Ward 2",0,1,2,0,0,0,2012,12,"Major Injury"
38.966352,-77.033201,"Ward 4",0,1,2,0,0,0,2012,11,"Major Injury"
38.90857,-77.054777,"Ward 2",0,1,1,0,0,0,2012,11,"Major Injury"
38.928776,-77.032638,"Ward 1",0,1,2,0,0,0,2012,12,"Minor Injury"
38.902988,-76.978076,"Ward 5",0,1,2,0,0,0,2013,1,"Major Injury"
38.91811,-77.031952,"Ward 1",0,1,2,0,0,0,2013,1,"Minor Injury"
38.914239,-77.092548,"Ward 3",0,1,2,0,0,0,2013,1,"Minor Injury"
38.932019,-77.025918,"Ward 1",1,1,1,0,0,0,2013,1,"Fatality"
38.882902,-77.023938,"Ward 6",0,1,2,0,0,0,2013,1,"Minor Injury"
38.912029,-77.022943,"Ward 2",0,1,2,0,0,0,2013,3,"Minor Injury"
38.916939,-77.041656,"Ward 1",0,1,1,0,0,0,2013,3,"Minor Injury"
38.928616,-77.073161,"Ward 3",0,1,2,0,0,0,2013,3,"Minor Injury"
38.883736,-76.996179,"Ward 6",0,1,2,0,0,0,2013,3,"Minor Injury"
38.911508,-77.048781,"Ward 2",0,1,2,0,0,0,2013,3,"Minor Injury"
38.910387,-77.034561,"Ward 2",0,1,2,0,0,0,2013,4,"Minor Injury"
38.913975,-77.046589,"Ward 2",0,1,2,0,0,0,2013,3,"Major Injury"
38.893494,-77.050136,"Ward 2",0,1,2,0,0,0,2013,4,"Minor Injury"
38.894608,-77.045336,"Ward 2",0,1,2,0,0,0,2013,4,"Minor Injury"
38.910751,-77.046631,"Ward 2",0,1,2,0,0,0,2013,4,"Minor Injury"
38.912678,-77.069246,"Ward 2",0,1,2,0,0,0,2013,4,"Minor Injury"
38.940788,-77.029704,"Ward 4",0,1,2,0,0,0,2013,4,"Minor Injury"
38.928733,-77.03733,"Ward 1",0,1,2,0,0,0,2013,4,"Minor Injury"
38.887825,-76.998451,"Ward 6",0,1,2,0,0,0,2013,5,"Major Injury"
38.95207,-77.024844,"Ward 4",0,1,2,0,0,0,2013,5,"Minor Injury"
38.916844,-77.027265,"Ward 1",0,1,2,0,0,0,2013,5,"Major Injury"
38.865335,-76.982168,"Ward 8",0,1,2,0,0,0,2013,6,"Minor Injury"
38.945412,-76.977064,"Ward 5",0,1,2,0,0,0,2013,6,"Minor Injury"
38.893295,-77.021919,"Ward 6",0,1,2,0,0,0,2013,6,"Major Injury"
38.912606,-77.031929,"Ward 2",0,1,2,0,0,0,2013,7,"Major Injury"
38.93346,-77.03273,"Ward 1",0,1,2,0,0,0,2013,7,"Major Injury"
38.897282,-77.021916,"Ward 2",0,1,2,0,0,0,2013,6,"Minor Injury"
38.92365,-76.984453,"Ward 5",0,1,2,0,0,0,2013,6,"Minor Injury"
38.927253,-77.036758,"Ward 1",0,1,2,0,0,0,2013,6,"Minor Injury"
38.954098,-77.027736,"Ward 4",0,1,2,0,0,0,2013,6,"Minor Injury"
38.919182,-77.031951,"Ward 1",0,1,2,0,0,0,2013,7,"Major Injury"
38.924948,-77.039144,"Ward 1",0,1,2,0,0,0,2013,7,"Minor Injury"
38.898331,-77.050135,"Ward 2",0,1,2,0,0,0,2013,7,"Minor Injury"
38.953375,-77.01165,"Ward 4",0,1,2,0,0,0,2013,7,"Minor Injury"
38.94628,-77.071734,"Ward 3",0,1,2,0,0,0,2013,8,"Minor Injury"
38.860674,-77.003393,"Ward 8",0,1,2,0,0,0,2013,7,"Minor Injury"
38.905647,-77.034561,"Ward 2",0,1,2,0,0,0,2013,8,"Major Injury"
38.902531,-77.027039,"Ward 2",0,1,2,0,0,0,2013,7,"Major Injury"
38.910576,-77.055183,"Ward 2",0,1,2,0,0,0,2013,8,"Minor Injury"
38.924766,-77.03647,"Ward 1",0,1,2,0,0,0,2013,8,"Minor Injury"
38.8452,-76.983315,"Ward 8",0,1,2,0,0,0,2013,8,"Minor Injury"
38.880585,-77.02665,"Ward 6",0,1,2,0,0,0,2013,8,"Major Injury"
38.937874,-77.032729,"Ward 4",0,1,2,0,0,0,2013,8,"Minor Injury"
38.940812,-77.025223,"Ward 4",0,1,2,0,0,0,2013,8,"Major Injury"
38.900181,-76.985504,"Ward 6",0,1,2,0,0,0,2013,8,"Major Injury"
38.966129,-77.027603,"Ward 4",0,1,2,0,0,0,2013,9,"Major Injury"
38.879681,-76.983658,"Ward 6",0,1,2,0,0,0,2013,9,"Minor Injury"
38.855209,-76.969976,"Ward 8",0,1,2,0,0,0,2013,9,"Minor Injury"
38.900696,-77.048824,"Ward 2",0,1,2,0,0,0,2013,9,"Minor Injury"
38.902523,-77.031944,"Ward 2",0,1,2,0,0,0,2013,9,"Minor Injury"
38.914481,-77.010057,"Ward 5",0,1,2,0,0,0,2013,9,"Minor Injury"
38.902515,-77.009033,"Ward 6",0,1,2,0,0,0,2013,10,"Minor Injury"
38.844019,-76.99926,"Ward 8",0,1,2,0,0,0,2013,9,"Minor Injury"
38.91309,-77.019901,"Ward 2",0,1,2,0,0,0,2013,10,"Minor Injury"
38.891636,-76.938657,"Ward 7",0,1,4,0,0,0,2013,10,"Minor Injury"
38.932642,-76.996175,"Ward 5",0,1,2,0,0,0,2013,10,"Minor Injury"
38.92881,-77.032641,"Ward 1",0,1,2,0,0,0,2013,10,"Minor Injury"
38.902511,-76.993759,"Ward 6",0,1,2,0,0,0,2013,10,"Minor Injury"
38.874435,-76.96981,"Ward 7",0,1,1,0,0,0,2013,11,"Major Injury"
38.929024,-77.073112,"Ward 3",0,1,2,0,0,0,2014,5,"Minor Injury"
38.922678,-77.042659,"Ward 1",0,1,2,0,0,0,2014,5,"Minor Injury"
38.925751,-77.02704,"Ward 1",0,1,2,0,0,0,2014,5,"Minor Injury"
38.954256,-76.987835,"Ward 5",0,1,2,0,0,0,2013,10,"Minor Injury"
38.91671,-77.022945,"Ward 1",0,1,2,0,0,0,2013,10,"Minor Injury"
38.891869,-76.93291,"Ward 7",0,1,2,0,0,0,2013,11,"Minor Injury"
38.930229,-77.032749,"Ward 1",0,1,2,0,0,0,2013,10,"Major Injury"
38.90519,-77.062812,"Ward 2",0,1,2,0,0,0,2014,5,"Minor Injury"
38.942516,-77.08197,"Ward 3",0,1,3,0,0,0,2013,11,"Minor Injury"
38.899811,-77.01991,"Ward 2",0,1,2,0,0,0,2013,10,"Major Injury"
38.929697,-77.02775,"Ward 1",0,1,2,0,0,0,2013,10,"Major Injury"
38.939732,-77.036444,"Ward 4",0,1,2,0,0,0,2013,11,"Major Injury"
38.907179,-77.036909,"Ward 2",0,1,2,0,0,0,2014,5,"Minor Injury"
38.878834,-76.981577,"Ward 6",0,1,2,0,0,0,2013,11,"Major Injury"
38.909641,-77.049339,"Ward 2",0,1,1,0,0,0,2014,5,"Minor Injury"
38.900117,-76.983361,"Ward 5",0,1,2,0,0,0,2014,5,"Minor Injury"
38.914481,-77.010057,"Ward 5",0,1,1,0,0,0,2014,5,"Minor Injury"
38.937375,-77.112152,"Ward 3",0,1,2,0,0,0,2013,11,"Minor Injury"
38.906782,-77.03275,"Ward 2",0,1,2,0,0,1,2014,5,"Minor Injury"
38.902641,-77.031955,"Ward 2",0,1,2,0,0,0,2014,5,"Minor Injury"
38.905628,-76.978988,"Ward 5",0,1,2,0,0,0,2014,5,"Major Injury"
38.919659,-77.041704,"Ward 1",0,1,2,0,0,0,2014,5,"Major Injury"
38.915577,-77.014341,"Ward 1",0,1,2,0,0,0,2014,5,"Minor Injury"
38.95055,-77.008868,"Ward 4",0,1,2,0,0,0,2013,11,"Major Injury"
38.918995,-77.021899,"Ward 1",0,1,2,0,0,0,2013,11,"Minor Injury"
38.930022,-77.023388,"Ward 1",0,1,2,0,0,0,2014,6,"Major Injury"
38.913831,-77.017803,"Ward 2",0,1,2,0,0,0,2013,11,"Minor Injury"
38.917,-77.028084,"Ward 1",0,1,2,0,0,0,2014,6,"Minor Injury"
38.902531,-77.041689,"Ward 2",0,1,2,0,0,0,2013,11,"Minor Injury"
38.906311,-77.031953,"Ward 2",0,1,2,0,0,0,2013,12,"Major Injury"
38.908895,-77.005415,"Ward 5",0,1,2,0,0,0,2013,12,"Major Injury"
38.902611,-77.061135,"Ward 2",0,1,2,0,0,0,2013,12,"Major Injury"
38.94072,-76.987122,"Ward 5",0,1,2,0,0,0,2014,6,"Minor Injury"
38.908829,-77.031949,"Ward 2",0,1,2,0,0,0,2014,6,"Minor Injury"
38.957661,-77.009049,"Ward 4",0,1,2,0,0,0,2014,6,"Minor Injury"
38.905368,-77.01478,"Ward 6",0,1,2,0,0,0,2014,6,"Minor Injury"
38.953062,-77.022163,"Ward 4",0,1,2,0,0,0,2014,6,"Minor Injury"
38.942627,-77.092873,"Ward 3",0,1,2,0,0,0,2013,12,"Major Injury"
38.878411,-77.013263,"Ward 6",0,1,2,0,0,0,2014,6,"Minor Injury"
38.947189,-77.029703,"Ward 4",0,1,2,0,0,0,2013,12,"Minor Injury"
38.920391,-77.036494,"Ward 1",0,1,2,0,0,0,2014,6,"Major Injury"
38.934952,-77.032733,"Ward 1",0,1,1,0,0,0,2014,6,"Minor Injury"
38.932472,-77.032733,"Ward 1",0,1,2,0,0,0,2014,6,"Minor Injury"
38.918995,-77.021899,"Ward 1",0,1,2,0,0,0,2014,6,"Minor Injury"
38.911508,-77.048781,"Ward 2",0,1,2,0,0,0,2014,7,"Minor Injury"
38.916999,-77.027,"Ward 1",0,1,2,0,0,0,2014,1,"Unknown Injury"
38.907241,-77.02961,"Ward 2",0,1,2,0,0,0,2013,12,"Major Injury"
38.900181,-77.016198,"Ward 6",0,1,2,0,0,0,2014,6,"Minor Injury"
38.91811,-77.024712,"Ward 1",0,1,2,0,0,0,2014,6,"Major Injury"
38.861499,-76.993792,"Ward 8",0,1,2,0,0,0,2013,12,"Minor Injury"
38.915412,-77.020389,"Ward 2",0,1,2,0,0,0,2014,6,"Minor Injury"
38.942627,-77.092873,"Ward 3",0,1,2,0,0,0,2014,7,"Minor Injury"
38.887569,-77.021915,"Ward 2",0,1,2,0,0,0,2014,6,"Minor Injury"
38.924759,-77.029711,"Ward 1",0,1,2,0,0,0,2013,12,"Minor Injury"
38.930282,-77.062689,"Ward 3",0,2,1,0,0,0,2014,1,"Major Injury"
38.896461,-76.957498,"Ward 7",0,1,2,0,0,0,2014,7,"Minor Injury"
38.907179,-77.036909,"Ward 2",0,1,1,0,0,0,2014,7,"Minor Injury"
38.902641,-77.031955,"Ward 2",0,1,1,0,0,0,2014,7,"Minor Injury"
38.898317,-77.03196,"Ward 2",0,1,2,0,0,0,2014,7,"Minor Injury"
38.893575,-76.985489,"Ward 6",0,1,2,0,0,0,2014,1,"Minor Injury"
38.895441,-77.029612,"Ward 2",0,1,2,0,0,0,2014,7,"Minor Injury"
38.900554,-76.939176,"Ward 7",0,1,2,0,0,0,2014,1,"Minor Injury"
38.905919,-77.067804,"Ward 2",0,1,2,0,0,0,2014,1,"Major Injury"
38.914089,-77.021912,"Ward 2",0,1,2,0,0,0,2014,7,"Minor Injury"
38.9257,-76.98578,"Ward 5",0,1,2,0,0,0,2014,1,"Major Injury"
38.961021,-77.077142,"Ward 3",0,1,2,0,0,0,2014,7,"Minor Injury"
38.928671,-77.036195,"Ward 1",0,1,2,0,0,0,2014,1,"Minor Injury"
38.92062,-77.022254,"Ward 1",0,1,1,0,0,0,2014,1,"Minor Injury"
38.915554,-77.044071,"Ward 2",0,1,2,0,0,0,2014,1,"Minor Injury"
38.903576,-77.019906,"Ward 2",0,1,2,0,0,0,2014,1,"Minor Injury"
38.922678,-77.042659,"Ward 1",0,1,2,0,0,0,2014,7,"Minor Injury"
38.912401,-77.045716,"Ward 2",0,1,2,0,0,0,2014,2,"Major Injury"
38.90552,-76.991172,"Ward 5",0,1,2,0,0,0,2014,7,"Minor Injury"
38.92881,-77.032641,"Ward 1",0,1,2,0,0,0,2014,7,"Major Injury"
38.9186,-77.0376,"Ward 1",0,1,2,0,0,0,2014,7,"Minor Injury"
38.894459,-76.913669,"Ward 7",0,1,1,0,0,0,2014,7,"Minor Injury"
38.92754,-77.032517,"Ward 1",0,1,2,0,0,0,2014,2,"Minor Injury"
38.898236,-77.052145,"Ward 2",0,1,2,0,0,0,2014,7,"Minor Injury"
38.877246,-77.005149,"Ward 6",0,1,2,0,0,0,2014,8,"Minor Injury"
